attribute,group,n,n_pos,tpr,fpr,ppv,f2,tp,fp,fn,tn
region,England,809,115,0.5391304347826087,0.5100864553314121,0.14903846153846154,0.3538812785388128,62,354,53,340
region,Scotland,826,126,0.5714285714285714,0.58,0.1506276150627615,0.3665987780040733,72,406,54,294
region,Wales,865,125,0.56,0.5351351351351351,0.15021459227467812,0.36231884057971014,70,396,55,344
customer_type,Commercial,1215,163,0.50920245398773,0.4762357414448669,0.1421232876712329,0.33576051779935273,83,501,80,551
customer_type,Domestic,1285,203,0.5960591133004927,0.6053604436229205,0.1559278350515464,0.3809823677581864,121,655,82,427
tenure_type,New,1234,184,0.5489130434782609,0.5742857142857143,0.1434659090909091,0.3506944444444444,101,603,83,447
tenure_type,Long-term,1266,182,0.5659340659340659,0.5101476014760148,0.15701219512195122,0.37210982658959535,103,553,79,531
