Model,F2 (default),F2 (tuned),PR-AUC,Precision,Recall,Threshold
LR_baseline,0.2810 (+/-0.0453),0.3600 (+/-0.0541),0.1500 (+/-0.0209),0.1501,0.5576,0.429
RF,0.1847 (+/-0.0689),0.2569 (+/-0.0764),0.1567 (+/-0.0251),0.1431,0.3224,0.473
XGB,0.1910 (+/-0.0634),0.1330 (+/-0.0427),0.1488 (+/-0.0126),0.1370,0.1340,0.558
LR_SMOTE,0.2828 (+/-0.0555),0.3500 (+/-0.0870),0.1538 (+/-0.0292),0.1493,0.5441,0.409
XGB_SMOTE,0.0099 (+/-0.0147),0.1962 (+/-0.0715),0.1496 (+/-0.0191),0.1514,0.2133,0.211
XGB_tuned,-,0.3330 (+/-0.0517),0.1504 (+/-0.0148),0.1531,0.4730,0.502
