fold,f2,pr_auc,precision,recall,tn,fp,fn,tp,n_train,n_val,n_pos_train,n_pos_val
1,0.26156941649899396,0.1407777280932617,0.12935323383084577,0.35135135135135137,251,175,48,26,2000,500,292,74
2,0.34623217922606925,0.18469343149775314,0.1708542713567839,0.4657534246575342,262,165,39,34,2000,500,293,73
3,0.25386313465783666,0.14146259952622042,0.14285714285714285,0.3150684931506849,289,138,50,23,2000,500,293,73
4,0.23517382413087934,0.13058877692473242,0.116751269035533,0.3150684931506849,253,174,50,23,2000,500,293,73
5,0.30828516377649323,0.15255086040312743,0.14096916299559473,0.4383561643835616,232,195,41,32,2000,500,293,73
