Configuration,F2 Mean,F2 Std,PR-AUC Mean,Recall,Precision
Structured only,0.4265743009535461,0.024756290383352975,0.1581005566070839,0.8443539429840798,0.14360302841354963
No temporal,0.3659082945983233,0.032328809857589756,0.14957646418511583,0.584857460199926,0.14687065211891392
Text only,0.36055653982305974,0.030683461464612295,0.1441935982787171,0.5768233987412069,0.1449362007682481
Full pipeline,0.3599841051661635,0.048354809851695296,0.150014679289019,0.5576082932247316,0.15009042813971168
Unigrams only,0.3533708964750338,0.03774091558873944,0.15112518800623742,0.5412810070344316,0.14861870420751105
TF-IDF 200,0.34918917701799324,0.05007082015905302,0.15371782751731314,0.5330988522769344,0.14808590325047594
TF-IDF 1000,0.34897835639171293,0.029361854742100808,0.14887530802229793,0.5302850796001481,0.1476518866542053
