k,silhouette,min_esc_rate,max_esc_rate,esc_rate_range
2,0.10882923356710167,0.14600326264274063,0.14678178963893249,0.0007785269961918528
3,0.09614455125563325,0.12025316455696203,0.16559139784946236,0.045338233292500335
4,0.1023725818448794,0.12162162162162163,0.163575042158516,0.04195342053689438
5,0.09922223350822407,0.11,0.17484008528784648,0.06484008528784647
7,0.09711616271250527,0.10493827160493827,0.17981072555205047,0.0748724539471122
10,0.09075062669999284,0.11507936507936507,0.18181818181818182,0.06673881673881675
